_id,Facility ID,Location ID,Facility Type (Display Name),Permit,FacilityType,Facility Rating,Asset Name
8688,132505,2532,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,PLEASANTVIEW PARK - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  3)
8689,132506,2532,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,PLEASANTVIEW PARK - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  4)
8690,967991,2533,Picnic Shelter,picnic,Shelter,None,MILLSTONE PARKETTE - Shade Structure
8691,32486,2534,Parking Lot,None,Outdoor Parking Lot,None,TODMORDEN MILLS PARK - Outdoor Parking Lot (  1)
8692,57404,2534,Pond,None,Open Water,None,TODMORDEN MILLS PARK - Open Water
8693,850054,2534,Parking Lot,None,Outdoor Parking Lot,None,TODMORDEN MILLS PARK - Outdoor Parking Lot (  2)
8694,34123,2535,Playground,None,Playground Site,None,LEYTON TOT LOT - Playground
8695,61582,2539,Drinking Fountain,None,Drinking Fountain Count,None,PAUL E. GARFINKEL PARK - Drinking Water Source
8696,61582,2539,Dog Fountain,None,Dog Fountain Count,None,PAUL E. GARFINKEL PARK - Drinking Water Source
8697,2540,2541,Drinking Fountain,None,Drinking Fountain Count,None,TORONTO ISLANDS - HANLAN'S POINT PARK - Drinking Water Source (  1)
8698,2543,2541,Drinking Fountain,None,Drinking Fountain Count,None,TORONTO ISLANDS - HANLAN'S POINT PARK - Drinking Water Source (  2)
8699,2544,2541,Drinking Fountain,None,Drinking Fountain Count,None,TORONTO ISLANDS - HANLAN'S POINT PARK - Drinking Water Source (  3)
8700,2545,2541,Drinking Fountain,None,Drinking Fountain Count,None,TORONTO ISLANDS - HANLAN'S POINT PARK - Drinking Water Source (  4)
8701,2546,2541,Drinking Fountain,None,Drinking Fountain Count,None,TORONTO ISLANDS - HANLAN'S POINT PARK - Drinking Water Source (  5)
8702,2552,2541,Outdoor Shower,None,Outdoor Shower,None,HANLAN'S POINT PARK - Outdoor Shower
8703,3619,2541,Outdoor Volleyball Court,None,Outdoor Volleyball Court,None,HANLAN'S POINT PARK - Volleyball Court
8704,4937,2541,Firepit,None,Firepit,None,TORONTO ISLANDS - HANLAN'S POINT PARK - Firepit (  1)
8705,4938,2541,Firepit,None,Firepit,None,TORONTO ISLANDS - HANLAN'S POINT PARK - Firepit (  2)
8706,4940,2541,Firepit,None,Firepit,None,TORONTO ISLANDS - HANLAN'S POINT PARK - Firepit (  3)
8707,4944,2541,Picnic Site,picnic,Picnic Site,None,HANLAN'S POINT PARK - Picnic Site (103)
8708,4953,2541,Picnic Site,picnic,Picnic Site,None,HANLAN'S POINT PARK - Picnic Site (105)
8709,4955,2541,Picnic Site,picnic,Picnic Site,None,HANLAN'S POINT PARK - Picnic Site (104)
8710,4956,2541,Picnic Site,picnic,Picnic Site,None,HANLAN'S POINT PARK - Picnic Site (112)
8711,4957,2541,Picnic Site,picnic,Picnic Site,None,HANLAN'S POINT PARK - Picnic Site (113)
8712,4958,2541,Picnic Site,picnic,Picnic Site,None,HANLAN'S POINT PARK - Picnic Site (102)
8713,4960,2541,Picnic Site,picnic,Picnic Site,None,HANLAN'S POINT PARK - Picnic Site (108)
8714,4961,2541,Picnic Site,picnic,Picnic Site,None,HANLAN'S POINT PARK - Picnic Site (111)
8715,4962,2541,Picnic Site,picnic,Picnic Site,None,HANLAN'S POINT PARK - Picnic Site (109)
8716,4963,2541,Picnic Site,picnic,Picnic Site,None,HANLAN'S POINT PARK - Picnic Site (107)
8717,4964,2541,Picnic Site,picnic,Picnic Site,None,HANLAN'S POINT PARK - Picnic Site (110)
8718,4968,2541,Picnic Site,picnic,Picnic Site,None,HANLAN'S POINT PARK - Picnic Site (106)
8719,14102,2541,Washroom Facility,None,Washroom Building,None,HANLAN'S POINT PARK WASHROOM AND SHELTER - BUILDING 1
8720,17022,2541,Beach,None,Beach,None,GIBRALTAR POINT BEACH
8721,17103,2541,Beach,None,Beach,None,HANLAN'S POINT PARK BEACH
8722,29431,2541,Lighthouse,None,Lighthouse,None,HANLAN'S POINT PARK GIBRALTAR POINT LIGHTHOUSE - BUILDING 13
